source_title,source_id,keyword_string,begin_date,end_date,result_filter
The New York Times,6742,body(singular(science)) or hlead(singular(science)),2012-01-01,2012-12-31,science
The New York Times,6742,body(singular(science)) or hlead(singular(science)),2013-01-01,2013-12-31,science
The New York Times,6742,body(singular(science)) or hlead(singular(science)),2014-01-01,2014-12-31,science
The New York Times,6742,body(singular(science)) or hlead(singular(science)),2015-01-01,2015-12-31,science
The New York Times,6742,body(singular(science)) or hlead(singular(science)),2016-01-01,2016-12-31,science
The New York Times,6742,body(singular(science)) or hlead(singular(science)),2017-01-01,2017-12-31,science
The New York Times,6742,body(singular(STEM)) or hlead(singular(STEM)),2012-01-01,2012-12-31,STEM
The New York Times,6742,body(singular(STEM)) or hlead(singular(STEM)),2013-01-01,2013-12-31,STEM
The New York Times,6742,body(singular(STEM)) or hlead(singular(STEM)),2014-01-01,2014-12-31,STEM
The New York Times,6742,body(singular(STEM)) or hlead(singular(STEM)),2015-01-01,2015-12-31,STEM
The New York Times,6742,body(singular(STEM)) or hlead(singular(STEM)),2016-01-01,2016-12-31,STEM
The New York Times,6742,body(singular(STEM)) or hlead(singular(STEM)),2017-01-01,2017-12-31,STEM
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(science)) or hlead(singular(science)),2012-01-01,2012-12-31,humanities
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(science)) or hlead(singular(science)),2013-01-01,2013-12-31,humanities
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(science)) or hlead(singular(science)),2014-01-01,2014-12-31,humanities
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(science)) or hlead(singular(science)),2015-01-01,2015-12-31,humanities
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(science)) or hlead(singular(science)),2016-01-01,2016-12-31,humanities
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(science)) or hlead(singular(science)),2017-01-01,2017-12-31,humanities
The New York Times,6742,body(singular(literature)) or hlead(singular(literature)),2012-01-01,2012-12-31,literature
The New York Times,6742,body(singular(literature)) or hlead(singular(literature)),2013-01-01,2013-12-31,literature
The New York Times,6742,body(singular(literature)) or hlead(singular(literature)),2014-01-01,2014-12-31,literature
The New York Times,6742,body(singular(literature)) or hlead(singular(literature)),2015-01-01,2015-12-31,literature
The New York Times,6742,body(singular(literature)) or hlead(singular(literature)),2016-01-01,2016-12-31,literature
The New York Times,6742,body(singular(literature)) or hlead(singular(literature)),2017-01-01,2017-12-31,literature
The New York Times,6742,body(singular(history)) or hlead(singular(history)),2012-01-01,2012-12-31,history
The New York Times,6742,body(singular(history)) or hlead(singular(history)),2013-01-01,2013-12-31,history
The New York Times,6742,body(singular(history)) or hlead(singular(history)),2014-01-01,2014-12-31,history
The New York Times,6742,body(singular(history)) or hlead(singular(history)),2015-01-01,2015-12-31,history
The New York Times,6742,body(singular(history)) or hlead(singular(history)),2016-01-01,2016-12-31,history
The New York Times,6742,body(singular(history)) or hlead(singular(history)),2017-01-01,2017-12-31,history
The New York Times,6742,body(art PRE/1 singular(history)) or hlead(art PRE/1 singular(history)),2012-01-01,2012-12-31,art history
The New York Times,6742,body(art PRE/1 singular(history)) or hlead(art PRE/1 singular(history)),2013-01-01,2013-12-31,art history
The New York Times,6742,body(art PRE/1 singular(history)) or hlead(art PRE/1 singular(history)),2014-01-01,2014-12-31,art history
The New York Times,6742,body(art PRE/1 singular(history)) or hlead(art PRE/1 singular(history)),2015-01-01,2015-12-31,art history
The New York Times,6742,body(art PRE/1 singular(history)) or hlead(art PRE/1 singular(history)),2016-01-01,2016-12-31,art history
The New York Times,6742,body(art PRE/1 singular(history)) or hlead(art PRE/1 singular(history)),2017-01-01,2017-12-31,art history
The New York Times,6742,body(singular(philosophy)) or hlead(singular(philosophy)),2012-01-01,2012-12-31,philosophy
The New York Times,6742,body(singular(philosophy)) or hlead(singular(philosophy)),2013-01-01,2013-12-31,philosophy
The New York Times,6742,body(singular(philosophy)) or hlead(singular(philosophy)),2014-01-01,2014-12-31,philosophy
The New York Times,6742,body(singular(philosophy)) or hlead(singular(philosophy)),2015-01-01,2015-12-31,philosophy
The New York Times,6742,body(singular(philosophy)) or hlead(singular(philosophy)),2016-01-01,2016-12-31,philosophy
The New York Times,6742,body(singular(philosophy)) or hlead(singular(philosophy)),2017-01-01,2017-12-31,philosophy
The New York Times,6742,body(English PRE/1 singular(literature)) or hlead(English PRE/1 singular(literature)),2012-01-01,2012-12-31,English literature
The New York Times,6742,body(English PRE/1 singular(literature)) or hlead(English PRE/1 singular(literature)),2013-01-01,2013-12-31,English literature
The New York Times,6742,body(English PRE/1 singular(literature)) or hlead(English PRE/1 singular(literature)),2014-01-01,2014-12-31,English literature
The New York Times,6742,body(English PRE/1 singular(literature)) or hlead(English PRE/1 singular(literature)),2015-01-01,2015-12-31,English literature
The New York Times,6742,body(English PRE/1 singular(literature)) or hlead(English PRE/1 singular(literature)),2016-01-01,2016-12-31,English literature
The New York Times,6742,body(English PRE/1 singular(literature)) or hlead(English PRE/1 singular(literature)),2017-01-01,2017-12-31,English literature
The New York Times,6742,body(singular(NEH)) or hlead(singular(NEH)),2012-01-01,2012-12-31,NEH
The New York Times,6742,body(singular(NEH)) or hlead(singular(NEH)),2013-01-01,2013-12-31,NEH
The New York Times,6742,body(singular(NEH)) or hlead(singular(NEH)),2014-01-01,2014-12-31,NEH
The New York Times,6742,body(singular(NEH)) or hlead(singular(NEH)),2015-01-01,2015-12-31,NEH
The New York Times,6742,body(singular(NEH)) or hlead(singular(NEH)),2016-01-01,2016-12-31,NEH
The New York Times,6742,body(singular(NEH)) or hlead(singular(NEH)),2017-01-01,2017-12-31,NEH
The New York Times,6742,body(singular(NEA)) or hlead(singular(NEA)),2012-01-01,2012-12-31,NEA
The New York Times,6742,body(singular(NEA)) or hlead(singular(NEA)),2013-01-01,2013-12-31,NEA
The New York Times,6742,body(singular(NEA)) or hlead(singular(NEA)),2014-01-01,2014-12-31,NEA
The New York Times,6742,body(singular(NEA)) or hlead(singular(NEA)),2015-01-01,2015-12-31,NEA
The New York Times,6742,body(singular(NEA)) or hlead(singular(NEA)),2016-01-01,2016-12-31,NEA
The New York Times,6742,body(singular(NEA)) or hlead(singular(NEA)),2017-01-01,2017-12-31,NEA
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(funding)) or hlead(singular(funding)),2012-01-01,2012-12-31,humanities
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(funding)) or hlead(singular(funding)),2013-01-01,2013-12-31,humanities
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(funding)) or hlead(singular(funding)),2014-01-01,2014-12-31,humanities
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(funding)) or hlead(singular(funding)),2015-01-01,2015-12-31,humanities
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(funding)) or hlead(singular(funding)),2016-01-01,2016-12-31,humanities
The New York Times,6742,body(plural(humanities)) or hlead(plural(humanities)) AND body(singular(funding)) or hlead(singular(funding)),2017-01-01,2017-12-31,humanities
